,appointments,occupied_beds,capacity_beds,occupancy_rate,on_shift,hour,dow,month,is_weekend,appt_lag_1,occ_lag_1,appt_lag_2,occ_lag_2,appt_lag_3,occ_lag_3,appt_lag_6,occ_lag_6,appt_lag_12,occ_lag_12,appt_lag_24,occ_lag_24,appt_rolling_6,occ_rolling_6,y_inflow_next,y_occ_next,y_surge_next
2018-01-02 20:00:00+00:00,0,17,1000,0.017,0.0,20,1,1,0,0.0,0.017,0.0,0.017,0.0,0.017,0.0,0.017,0.0,0.017,0.0,0.008,0.0,0.017,0.0,0.017,0
2018-01-02 21:00:00+00:00,0,17,1000,0.017,0.0,21,1,1,0,0.0,0.017,0.0,0.017,0.0,0.017,0.0,0.017,0.0,0.017,0.0,0.008,0.0,0.017,0.0,0.017,0
2018-01-02 22:00:00+00:00,0,17,1000,0.017,0.0,22,1,1,0,0.0,0.017,0.0,0.017,0.0,0.017,0.0,0.017,0.0,0.017,0.0,0.008,0.0,0.017,0.0,0.017,0
2018-01-02 23:00:00+00:00,0,17,1000,0.017,0.0,23,1,1,0,0.0,0.017,0.0,0.017,0.0,0.017,0.0,0.017,0.0,0.017,0.0,0.008,0.0,0.017,13.0,0.021,0
2018-01-03 00:00:00+00:00,13,21,1000,0.021,0.0,0,2,1,0,0.0,0.017,0.0,0.017,0.0,0.017,0.0,0.017,0.0,0.017,9.0,0.017,2.1666666666666665,0.017666666666666667,0.0,0.021,0
2018-01-03 01:00:00+00:00,0,21,1000,0.021,0.0,1,2,1,0,13.0,0.021,0.0,0.017,0.0,0.017,0.0,0.017,0.0,0.017,0.0,0.017,2.1666666666666665,0.018333333333333333,0.0,0.021,0
2018-01-03 02:00:00+00:00,0,21,1000,0.021,0.0,2,2,1,0,0.0,0.021,13.0,0.021,0.0,0.017,0.0,0.017,0.0,0.017,0.0,0.017,2.1666666666666665,0.019,0.0,0.021,0
2018-01-03 03:00:00+00:00,0,21,1000,0.021,0.0,3,2,1,0,0.0,0.021,0.0,0.021,13.0,0.021,0.0,0.017,0.0,0.017,0.0,0.017,2.1666666666666665,0.019666666666666666,0.0,0.021,0
2018-01-03 04:00:00+00:00,0,21,1000,0.021,0.0,4,2,1,0,0.0,0.021,0.0,0.021,0.0,0.021,0.0,0.017,0.0,0.017,0.0,0.017,2.1666666666666665,0.020333333333333335,0.0,0.021,0
2018-01-03 05:00:00+00:00,0,21,1000,0.021,0.0,5,2,1,0,0.0,0.021,0.0,0.021,0.0,0.021,0.0,0.017,0.0,0.017,0.0,0.017,2.1666666666666665,0.021,0.0,0.021,0
2018-01-03 06:00:00+00:00,0,21,1000,0.021,0.0,6,2,1,0,0.0,0.021,0.0,0.021,0.0,0.021,13.0,0.021,0.0,0.017,0.0,0.017,0.0,0.021,0.0,0.021,0
2018-01-03 07:00:00+00:00,0,21,1000,0.021,0.0,7,2,1,0,0.0,0.021,0.0,0.021,0.0,0.021,0.0,0.021,0.0,0.017,0.0,0.017,0.0,0.021,0.0,0.021,0
2018-01-03 08:00:00+00:00,0,21,1000,0.021,0.0,8,2,1,0,0.0,0.021,0.0,0.021,0.0,0.021,0.0,0.021,0.0,0.017,0.0,0.017,0.0,0.021,0.0,0.021,0
2018-01-03 09:00:00+00:00,0,21,1000,0.021,0.0,9,2,1,0,0.0,0.021,0.0,0.021,0.0,0.021,0.0,0.021,0.0,0.017,0.0,0.017,0.0,0.021,0.0,0.021,0
2018-01-03 10:00:00+00:00,0,21,1000,0.021,0.0,10,2,1,0,0.0,0.021,0.0,0.021,0.0,0.021,0.0,0.021,0.0,0.017,0.0,0.017,0.0,0.021,0.0,0.021,0
2018-01-03 11:00:00+00:00,0,21,1000,0.021,0.0,11,2,1,0,0.0,0.021,0.0,0.021,0.0,0.021,0.0,0.021,0.0,0.017,0.0,0.017,0.0,0.021,0.0,0.021,0
2018-01-03 12:00:00+00:00,0,21,1000,0.021,0.0,12,2,1,0,0.0,0.021,0.0,0.021,0.0,0.021,0.0,0.021,13.0,0.021,0.0,0.017,0.0,0.021,0.0,0.021,0
2018-01-03 13:00:00+00:00,0,21,1000,0.021,0.0,13,2,1,0,0.0,0.021,0.0,0.021,0.0,0.021,0.0,0.021,0.0,0.021,0.0,0.017,0.0,0.021,0.0,0.021,0
2018-01-03 14:00:00+00:00,0,21,1000,0.021,0.0,14,2,1,0,0.0,0.021,0.0,0.021,0.0,0.021,0.0,0.021,0.0,0.021,0.0,0.017,0.0,0.021,0.0,0.021,0
2018-01-03 15:00:00+00:00,0,21,1000,0.021,0.0,15,2,1,0,0.0,0.021,0.0,0.021,0.0,0.021,0.0,0.021,0.0,0.021,0.0,0.017,0.0,0.021,0.0,0.021,0
2018-01-03 16:00:00+00:00,0,21,1000,0.021,0.0,16,2,1,0,0.0,0.021,0.0,0.021,0.0,0.021,0.0,0.021,0.0,0.021,0.0,0.017,0.0,0.021,0.0,0.021,0
2018-01-03 17:00:00+00:00,0,21,1000,0.021,0.0,17,2,1,0,0.0,0.021,0.0,0.021,0.0,0.021,0.0,0.021,0.0,0.021,0.0,0.017,0.0,0.021,0.0,0.021,0
2018-01-03 18:00:00+00:00,0,21,1000,0.021,0.0,18,2,1,0,0.0,0.021,0.0,0.021,0.0,0.021,0.0,0.021,0.0,0.021,0.0,0.017,0.0,0.021,0.0,0.021,0
2018-01-03 19:00:00+00:00,0,21,1000,0.021,0.0,19,2,1,0,0.0,0.021,0.0,0.021,0.0,0.021,0.0,0.021,0.0,0.021,0.0,0.017,0.0,0.021,0.0,0.021,0
2018-01-03 20:00:00+00:00,0,21,1000,0.021,0.0,20,2,1,0,0.0,0.021,0.0,0.021,0.0,0.021,0.0,0.021,0.0,0.021,0.0,0.017,0.0,0.021,0.0,0.021,0
2018-01-03 21:00:00+00:00,0,21,1000,0.021,0.0,21,2,1,0,0.0,0.021,0.0,0.021,0.0,0.021,0.0,0.021,0.0,0.021,0.0,0.017,0.0,0.021,0.0,0.021,0
2018-01-03 22:00:00+00:00,0,21,1000,0.021,0.0,22,2,1,0,0.0,0.021,0.0,0.021,0.0,0.021,0.0,0.021,0.0,0.021,0.0,0.017,0.0,0.021,0.0,0.021,0
2018-01-03 23:00:00+00:00,0,21,1000,0.021,0.0,23,2,1,0,0.0,0.021,0.0,0.021,0.0,0.021,0.0,0.021,0.0,0.021,0.0,0.017,0.0,0.021,11.0,0.035,0
2018-01-04 00:00:00+00:00,11,35,1000,0.035,0.0,0,3,1,0,0.0,0.021,0.0,0.021,0.0,0.021,0.0,0.021,0.0,0.021,13.0,0.021,1.8333333333333333,0.023333333333333334,0.0,0.035,0
2018-01-04 01:00:00+00:00,0,35,1000,0.035,0.0,1,3,1,0,11.0,0.035,0.0,0.021,0.0,0.021,0.0,0.021,0.0,0.021,0.0,0.021,1.8333333333333333,0.02566666666666667,0.0,0.035,0
2018-01-04 02:00:00+00:00,0,35,1000,0.035,0.0,2,3,1,0,0.0,0.035,11.0,0.035,0.0,0.021,0.0,0.021,0.0,0.021,0.0,0.021,1.8333333333333333,0.028,0.0,0.035,0
2018-01-04 03:00:00+00:00,0,35,1000,0.035,0.0,3,3,1,0,0.0,0.035,0.0,0.035,11.0,0.035,0.0,0.021,0.0,0.021,0.0,0.021,1.8333333333333333,0.030333333333333337,0.0,0.035,0
2018-01-04 04:00:00+00:00,0,35,1000,0.035,0.0,4,3,1,0,0.0,0.035,0.0,0.035,0.0,0.035,0.0,0.021,0.0,0.021,0.0,0.021,1.8333333333333333,0.03266666666666667,0.0,0.035,0
2018-01-04 05:00:00+00:00,0,35,1000,0.035,0.0,5,3,1,0,0.0,0.035,0.0,0.035,0.0,0.035,0.0,0.021,0.0,0.021,0.0,0.021,1.8333333333333333,0.035,0.0,0.035,0
2018-01-04 06:00:00+00:00,0,35,1000,0.035,0.0,6,3,1,0,0.0,0.035,0.0,0.035,0.0,0.035,11.0,0.035,0.0,0.021,0.0,0.021,0.0,0.035,0.0,0.035,0
2018-01-04 07:00:00+00:00,0,35,1000,0.035,0.0,7,3,1,0,0.0,0.035,0.0,0.035,0.0,0.035,0.0,0.035,0.0,0.021,0.0,0.021,0.0,0.035,0.0,0.035,0
2018-01-04 08:00:00+00:00,0,35,1000,0.035,0.0,8,3,1,0,0.0,0.035,0.0,0.035,0.0,0.035,0.0,0.035,0.0,0.021,0.0,0.021,0.0,0.035,0.0,0.035,0
2018-01-04 09:00:00+00:00,0,35,1000,0.035,0.0,9,3,1,0,0.0,0.035,0.0,0.035,0.0,0.035,0.0,0.035,0.0,0.021,0.0,0.021,0.0,0.035,0.0,0.035,0
2018-01-04 10:00:00+00:00,0,35,1000,0.035,0.0,10,3,1,0,0.0,0.035,0.0,0.035,0.0,0.035,0.0,0.035,0.0,0.021,0.0,0.021,0.0,0.035,0.0,0.035,0
2018-01-04 11:00:00+00:00,0,35,1000,0.035,0.0,11,3,1,0,0.0,0.035,0.0,0.035,0.0,0.035,0.0,0.035,0.0,0.021,0.0,0.021,0.0,0.035,0.0,0.035,0
2018-01-04 12:00:00+00:00,0,35,1000,0.035,0.0,12,3,1,0,0.0,0.035,0.0,0.035,0.0,0.035,0.0,0.035,11.0,0.035,0.0,0.021,0.0,0.035,0.0,0.035,0
2018-01-04 13:00:00+00:00,0,35,1000,0.035,0.0,13,3,1,0,0.0,0.035,0.0,0.035,0.0,0.035,0.0,0.035,0.0,0.035,0.0,0.021,0.0,0.035,0.0,0.035,0
2018-01-04 14:00:00+00:00,0,35,1000,0.035,0.0,14,3,1,0,0.0,0.035,0.0,0.035,0.0,0.035,0.0,0.035,0.0,0.035,0.0,0.021,0.0,0.035,0.0,0.035,0
2018-01-04 15:00:00+00:00,0,35,1000,0.035,0.0,15,3,1,0,0.0,0.035,0.0,0.035,0.0,0.035,0.0,0.035,0.0,0.035,0.0,0.021,0.0,0.035,0.0,0.035,0
2018-01-04 16:00:00+00:00,0,35,1000,0.035,0.0,16,3,1,0,0.0,0.035,0.0,0.035,0.0,0.035,0.0,0.035,0.0,0.035,0.0,0.021,0.0,0.035,0.0,0.035,0
2018-01-04 17:00:00+00:00,0,35,1000,0.035,0.0,17,3,1,0,0.0,0.035,0.0,0.035,0.0,0.035,0.0,0.035,0.0,0.035,0.0,0.021,0.0,0.035,0.0,0.035,0
2018-01-04 18:00:00+00:00,0,35,1000,0.035,0.0,18,3,1,0,0.0,0.035,0.0,0.035,0.0,0.035,0.0,0.035,0.0,0.035,0.0,0.021,0.0,0.035,0.0,0.035,0
2018-01-04 19:00:00+00:00,0,35,1000,0.035,0.0,19,3,1,0,0.0,0.035,0.0,0.035,0.0,0.035,0.0,0.035,0.0,0.035,0.0,0.021,0.0,0.035,0.0,0.035,0
2018-01-04 20:00:00+00:00,0,35,1000,0.035,0.0,20,3,1,0,0.0,0.035,0.0,0.035,0.0,0.035,0.0,0.035,0.0,0.035,0.0,0.021,0.0,0.035,0.0,0.035,0
2018-01-04 21:00:00+00:00,0,35,1000,0.035,0.0,21,3,1,0,0.0,0.035,0.0,0.035,0.0,0.035,0.0,0.035,0.0,0.035,0.0,0.021,0.0,0.035,0.0,0.035,0
2018-01-04 22:00:00+00:00,0,35,1000,0.035,0.0,22,3,1,0,0.0,0.035,0.0,0.035,0.0,0.035,0.0,0.035,0.0,0.035,0.0,0.021,0.0,0.035,0.0,0.035,0
2018-01-04 23:00:00+00:00,0,35,1000,0.035,0.0,23,3,1,0,0.0,0.035,0.0,0.035,0.0,0.035,0.0,0.035,0.0,0.035,0.0,0.021,0.0,0.035,10.0,0.048,0
2018-01-05 00:00:00+00:00,10,48,1000,0.048,0.0,0,4,1,0,0.0,0.035,0.0,0.035,0.0,0.035,0.0,0.035,0.0,0.035,11.0,0.035,1.6666666666666667,0.03716666666666667,0.0,0.048,0
2018-01-05 01:00:00+00:00,0,48,1000,0.048,0.0,1,4,1,0,10.0,0.048,0.0,0.035,0.0,0.035,0.0,0.035,0.0,0.035,0.0,0.035,1.6666666666666667,0.03933333333333334,0.0,0.048,0
2018-01-05 02:00:00+00:00,0,48,1000,0.048,0.0,2,4,1,0,0.0,0.048,10.0,0.048,0.0,0.035,0.0,0.035,0.0,0.035,0.0,0.035,1.6666666666666667,0.0415,0.0,0.048,0
2018-01-05 03:00:00+00:00,0,48,1000,0.048,0.0,3,4,1,0,0.0,0.048,0.0,0.048,10.0,0.048,0.0,0.035,0.0,0.035,0.0,0.035,1.6666666666666667,0.043666666666666666,0.0,0.048,0
2018-01-05 04:00:00+00:00,0,48,1000,0.048,0.0,4,4,1,0,0.0,0.048,0.0,0.048,0.0,0.048,0.0,0.035,0.0,0.035,0.0,0.035,1.6666666666666667,0.04583333333333334,0.0,0.048,0
2018-01-05 05:00:00+00:00,0,48,1000,0.048,0.0,5,4,1,0,0.0,0.048,0.0,0.048,0.0,0.048,0.0,0.035,0.0,0.035,0.0,0.035,1.6666666666666667,0.048,0.0,0.048,0
2018-01-05 06:00:00+00:00,0,48,1000,0.048,0.0,6,4,1,0,0.0,0.048,0.0,0.048,0.0,0.048,10.0,0.048,0.0,0.035,0.0,0.035,0.0,0.048,0.0,0.048,0
2018-01-05 07:00:00+00:00,0,48,1000,0.048,0.0,7,4,1,0,0.0,0.048,0.0,0.048,0.0,0.048,0.0,0.048,0.0,0.035,0.0,0.035,0.0,0.048,0.0,0.048,0
2018-01-05 08:00:00+00:00,0,48,1000,0.048,0.0,8,4,1,0,0.0,0.048,0.0,0.048,0.0,0.048,0.0,0.048,0.0,0.035,0.0,0.035,0.0,0.048,0.0,0.048,0
2018-01-05 09:00:00+00:00,0,48,1000,0.048,0.0,9,4,1,0,0.0,0.048,0.0,0.048,0.0,0.048,0.0,0.048,0.0,0.035,0.0,0.035,0.0,0.048,0.0,0.048,0
2018-01-05 10:00:00+00:00,0,48,1000,0.048,0.0,10,4,1,0,0.0,0.048,0.0,0.048,0.0,0.048,0.0,0.048,0.0,0.035,0.0,0.035,0.0,0.048,0.0,0.048,0
2018-01-05 11:00:00+00:00,0,48,1000,0.048,0.0,11,4,1,0,0.0,0.048,0.0,0.048,0.0,0.048,0.0,0.048,0.0,0.035,0.0,0.035,0.0,0.048,0.0,0.048,0
2018-01-05 12:00:00+00:00,0,48,1000,0.048,0.0,12,4,1,0,0.0,0.048,0.0,0.048,0.0,0.048,0.0,0.048,10.0,0.048,0.0,0.035,0.0,0.048,0.0,0.048,0
2018-01-05 13:00:00+00:00,0,48,1000,0.048,0.0,13,4,1,0,0.0,0.048,0.0,0.048,0.0,0.048,0.0,0.048,0.0,0.048,0.0,0.035,0.0,0.048,0.0,0.048,0
2018-01-05 14:00:00+00:00,0,48,1000,0.048,0.0,14,4,1,0,0.0,0.048,0.0,0.048,0.0,0.048,0.0,0.048,0.0,0.048,0.0,0.035,0.0,0.048,0.0,0.048,0
2018-01-05 15:00:00+00:00,0,48,1000,0.048,0.0,15,4,1,0,0.0,0.048,0.0,0.048,0.0,0.048,0.0,0.048,0.0,0.048,0.0,0.035,0.0,0.048,0.0,0.048,0
2018-01-05 16:00:00+00:00,0,48,1000,0.048,0.0,16,4,1,0,0.0,0.048,0.0,0.048,0.0,0.048,0.0,0.048,0.0,0.048,0.0,0.035,0.0,0.048,0.0,0.048,0
2018-01-05 17:00:00+00:00,0,48,1000,0.048,0.0,17,4,1,0,0.0,0.048,0.0,0.048,0.0,0.048,0.0,0.048,0.0,0.048,0.0,0.035,0.0,0.048,0.0,0.048,0
2018-01-05 18:00:00+00:00,0,48,1000,0.048,0.0,18,4,1,0,0.0,0.048,0.0,0.048,0.0,0.048,0.0,0.048,0.0,0.048,0.0,0.035,0.0,0.048,0.0,0.048,0
2018-01-05 19:00:00+00:00,0,48,1000,0.048,0.0,19,4,1,0,0.0,0.048,0.0,0.048,0.0,0.048,0.0,0.048,0.0,0.048,0.0,0.035,0.0,0.048,0.0,0.048,0
2018-01-05 20:00:00+00:00,0,48,1000,0.048,0.0,20,4,1,0,0.0,0.048,0.0,0.048,0.0,0.048,0.0,0.048,0.0,0.048,0.0,0.035,0.0,0.048,0.0,0.048,0
2018-01-05 21:00:00+00:00,0,48,1000,0.048,0.0,21,4,1,0,0.0,0.048,0.0,0.048,0.0,0.048,0.0,0.048,0.0,0.048,0.0,0.035,0.0,0.048,0.0,0.048,0
2018-01-05 22:00:00+00:00,0,48,1000,0.048,0.0,22,4,1,0,0.0,0.048,0.0,0.048,0.0,0.048,0.0,0.048,0.0,0.048,0.0,0.035,0.0,0.048,0.0,0.048,0
2018-01-05 23:00:00+00:00,0,48,1000,0.048,0.0,23,4,1,0,0.0,0.048,0.0,0.048,0.0,0.048,0.0,0.048,0.0,0.048,0.0,0.035,0.0,0.048,11.0,0.058,0
2018-01-06 00:00:00+00:00,11,58,1000,0.058,0.0,0,5,1,1,0.0,0.048,0.0,0.048,0.0,0.048,0.0,0.048,0.0,0.048,10.0,0.048,1.8333333333333333,0.04966666666666667,0.0,0.058,0
2018-01-06 01:00:00+00:00,0,58,1000,0.058,0.0,1,5,1,1,11.0,0.058,0.0,0.048,0.0,0.048,0.0,0.048,0.0,0.048,0.0,0.048,1.8333333333333333,0.05133333333333334,0.0,0.058,0
2018-01-06 02:00:00+00:00,0,58,1000,0.058,0.0,2,5,1,1,0.0,0.058,11.0,0.058,0.0,0.048,0.0,0.048,0.0,0.048,0.0,0.048,1.8333333333333333,0.053,0.0,0.058,0
2018-01-06 03:00:00+00:00,0,58,1000,0.058,0.0,3,5,1,1,0.0,0.058,0.0,0.058,11.0,0.058,0.0,0.048,0.0,0.048,0.0,0.048,1.8333333333333333,0.05466666666666667,0.0,0.058,0
2018-01-06 04:00:00+00:00,0,58,1000,0.058,0.0,4,5,1,1,0.0,0.058,0.0,0.058,0.0,0.058,0.0,0.048,0.0,0.048,0.0,0.048,1.8333333333333333,0.05633333333333334,0.0,0.058,0
2018-01-06 05:00:00+00:00,0,58,1000,0.058,0.0,5,5,1,1,0.0,0.058,0.0,0.058,0.0,0.058,0.0,0.048,0.0,0.048,0.0,0.048,1.8333333333333333,0.058,0.0,0.058,0
2018-01-06 06:00:00+00:00,0,58,1000,0.058,0.0,6,5,1,1,0.0,0.058,0.0,0.058,0.0,0.058,11.0,0.058,0.0,0.048,0.0,0.048,0.0,0.058,0.0,0.058,0
2018-01-06 07:00:00+00:00,0,58,1000,0.058,0.0,7,5,1,1,0.0,0.058,0.0,0.058,0.0,0.058,0.0,0.058,0.0,0.048,0.0,0.048,0.0,0.058,0.0,0.058,0
2018-01-06 08:00:00+00:00,0,58,1000,0.058,0.0,8,5,1,1,0.0,0.058,0.0,0.058,0.0,0.058,0.0,0.058,0.0,0.048,0.0,0.048,0.0,0.058,0.0,0.058,0
2018-01-06 09:00:00+00:00,0,58,1000,0.058,0.0,9,5,1,1,0.0,0.058,0.0,0.058,0.0,0.058,0.0,0.058,0.0,0.048,0.0,0.048,0.0,0.058,0.0,0.058,0
2018-01-06 10:00:00+00:00,0,58,1000,0.058,0.0,10,5,1,1,0.0,0.058,0.0,0.058,0.0,0.058,0.0,0.058,0.0,0.048,0.0,0.048,0.0,0.058,0.0,0.058,0
2018-01-06 11:00:00+00:00,0,58,1000,0.058,0.0,11,5,1,1,0.0,0.058,0.0,0.058,0.0,0.058,0.0,0.058,0.0,0.048,0.0,0.048,0.0,0.058,0.0,0.058,0
2018-01-06 12:00:00+00:00,0,58,1000,0.058,0.0,12,5,1,1,0.0,0.058,0.0,0.058,0.0,0.058,0.0,0.058,11.0,0.058,0.0,0.048,0.0,0.058,0.0,0.058,0
2018-01-06 13:00:00+00:00,0,58,1000,0.058,0.0,13,5,1,1,0.0,0.058,0.0,0.058,0.0,0.058,0.0,0.058,0.0,0.058,0.0,0.048,0.0,0.058,0.0,0.058,0
2018-01-06 14:00:00+00:00,0,58,1000,0.058,0.0,14,5,1,1,0.0,0.058,0.0,0.058,0.0,0.058,0.0,0.058,0.0,0.058,0.0,0.048,0.0,0.058,0.0,0.058,0
2018-01-06 15:00:00+00:00,0,58,1000,0.058,0.0,15,5,1,1,0.0,0.058,0.0,0.058,0.0,0.058,0.0,0.058,0.0,0.058,0.0,0.048,0.0,0.058,0.0,0.058,0
2018-01-06 16:00:00+00:00,0,58,1000,0.058,0.0,16,5,1,1,0.0,0.058,0.0,0.058,0.0,0.058,0.0,0.058,0.0,0.058,0.0,0.048,0.0,0.058,0.0,0.058,0
2018-01-06 17:00:00+00:00,0,58,1000,0.058,0.0,17,5,1,1,0.0,0.058,0.0,0.058,0.0,0.058,0.0,0.058,0.0,0.058,0.0,0.048,0.0,0.058,0.0,0.058,0
2018-01-06 18:00:00+00:00,0,58,1000,0.058,0.0,18,5,1,1,0.0,0.058,0.0,0.058,0.0,0.058,0.0,0.058,0.0,0.058,0.0,0.048,0.0,0.058,0.0,0.058,0
2018-01-06 19:00:00+00:00,0,58,1000,0.058,0.0,19,5,1,1,0.0,0.058,0.0,0.058,0.0,0.058,0.0,0.058,0.0,0.058,0.0,0.048,0.0,0.058,0.0,0.058,0
2018-01-06 20:00:00+00:00,0,58,1000,0.058,0.0,20,5,1,1,0.0,0.058,0.0,0.058,0.0,0.058,0.0,0.058,0.0,0.058,0.0,0.048,0.0,0.058,0.0,0.058,0
2018-01-06 21:00:00+00:00,0,58,1000,0.058,0.0,21,5,1,1,0.0,0.058,0.0,0.058,0.0,0.058,0.0,0.058,0.0,0.058,0.0,0.048,0.0,0.058,0.0,0.058,0
2018-01-06 22:00:00+00:00,0,58,1000,0.058,0.0,22,5,1,1,0.0,0.058,0.0,0.058,0.0,0.058,0.0,0.058,0.0,0.058,0.0,0.048,0.0,0.058,0.0,0.058,0
2018-01-06 23:00:00+00:00,0,58,1000,0.058,0.0,23,5,1,1,0.0,0.058,0.0,0.058,0.0,0.058,0.0,0.058,0.0,0.058,0.0,0.048,0.0,0.058,21.0,0.063,0
2018-01-07 00:00:00+00:00,21,63,1000,0.063,0.0,0,6,1,1,0.0,0.058,0.0,0.058,0.0,0.058,0.0,0.058,0.0,0.058,11.0,0.058,3.5,0.05883333333333333,0.0,0.063,0
2018-01-07 01:00:00+00:00,0,63,1000,0.063,0.0,1,6,1,1,21.0,0.063,0.0,0.058,0.0,0.058,0.0,0.058,0.0,0.058,0.0,0.058,3.5,0.059666666666666666,0.0,0.063,0
2018-01-07 02:00:00+00:00,0,63,1000,0.063,0.0,2,6,1,1,0.0,0.063,21.0,0.063,0.0,0.058,0.0,0.058,0.0,0.058,0.0,0.058,3.5,0.0605,0.0,0.063,0
2018-01-07 03:00:00+00:00,0,63,1000,0.063,0.0,3,6,1,1,0.0,0.063,0.0,0.063,21.0,0.063,0.0,0.058,0.0,0.058,0.0,0.058,3.5,0.06133333333333333,0.0,0.063,0
2018-01-07 04:00:00+00:00,0,63,1000,0.063,0.0,4,6,1,1,0.0,0.063,0.0,0.063,0.0,0.063,0.0,0.058,0.0,0.058,0.0,0.058,3.5,0.06216666666666667,0.0,0.063,0
2018-01-07 05:00:00+00:00,0,63,1000,0.063,0.0,5,6,1,1,0.0,0.063,0.0,0.063,0.0,0.063,0.0,0.058,0.0,0.058,0.0,0.058,3.5,0.063,0.0,0.063,0
